pack_id,mission_id,mission_name,difficulty,directive
basic_training,bt_001,The Orthographist,1,Get the target to spell a word out loud.
basic_training,bt_002,Zero Hour,1,Get the target to check their watch.
basic_training,bt_003,The Scribe,1,Get the target to lend you a pen.
basic_training,bt_004,The Surveyor,2,Get the target to estimate a distance.
basic_training,bt_005,The Sommelier,1,Get the target to recommend a specific drink.
basic_training,bt_006,The Contact,1,Get the target to initiate a high-five.
basic_training,bt_007,The Origin,1,Get the target to mention their hometown.
basic_training,bt_008,The Signal,2,Get the target to check their phone's signal strength.
basic_training,bt_009,The Heavy Lifter,2,Get the target to hold your cup.
basic_training,bt_010,The Scholar,2,Get the target to explain a rule of a sport.
basic_training,bt_011,The Archivist,2,Get the target to show you the most recent photo on their phone.
basic_training,bt_012,The Navigator,1,Get the target to give you verbal directions to the bathroom.
basic_training,bt_013,The Critic,2,Get the target to explain why they prefer a specific brand.
basic_training,bt_014,The Counter,2,Get the target to count to 10 out loud.
basic_training,bt_015,The Witness,3,Get the target to describe a person's outfit.
basic_training,bt_016,The Mint,1,Get the target to lend you a coin.
basic_training,bt_017,The Alias,1,Get the target to state their childhood nickname.
basic_training,bt_018,The Thermostat,1,Get the target to complain about the temperature.
basic_training,bt_019,The Illuminator,1,Get the target to point at a light switch.
basic_training,bt_020,The Pivot,2,Get the target to swap seats with you.
basic_training,bt_021,The Locksmith,2,Get the target to show you their keys.
basic_training,bt_022,The Resume,2,Get the target to tell a story about their first job.
basic_training,bt_023,The Power Cell,1,Get the target to state their phone battery percentage.
basic_training,bt_024,The Appraisal,2,Get the target to compliment your outfit.
basic_training,bt_025,The Purge,1,Get the target to hand you a napkin.
basic_training,bt_026,The Calendar,2,"Get the target to state today’s date, including the year."
basic_training,bt_027,The Handler,1,Get the target to name their first pet.
basic_training,bt_028,The Reader,1,Get the target to describe the last book they have read.
basic_training,bt_029,The Frequency,1,Get the target to name the artist currently playing on the speakers.
basic_training,bt_030,The Reflection,2,Get the target to check their reflection in a mirror.
basic_training,bt_031,The Shredder,2,Get the target to tear a piece of paper.
basic_training,bt_032,The Bind,3,Get the target to tie a knot.
basic_training,bt_033,The Current,3,Get the target to plug in a phone charger.
basic_training,bt_034,The Exposure,2,Get the target to take a photo of you.
basic_training,bt_035,The Quartermaster,2,Get the target to refill your water glass.
basic_training,bt_036,The Passport,1,Get the target to name a country they have visited.
basic_training,bt_037,The Actuary,2,Get the target to solve a math problem out loud.
basic_training,bt_038,The Protocol,1,Get the target to initiate a fist bump.
basic_training,bt_039,The Static,2,Get the target to ask for the music volume to be lowered.
basic_training,bt_040,The Mechanic,3,Get the target to adjust the height of a chair.
basic_training,bt_041,The Spectrum,1,Get the target to name their favorite color.
basic_training,bt_042,The Lineage,1,Get the target to state how many siblings they have.
basic_training,bt_043,The Trigger,2,Get the target to click a retractable pen.
basic_training,bt_044,The Tripwire,2,Get the target to tie shoelaces.
basic_training,bt_045,The Rations,1,Get the target to give you food.
basic_training,bt_046,The Sweetener,1,Get the target to teach you a recipe.
basic_training,bt_047,The Middleman,1,Get the target to state their middle name.
basic_training,bt_048,The Murmur,2,Get the target to whisper to you.
